"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","60",""
"Afghanistan","2011","54",""
"Afghanistan","2010","41",""
"Albania","2012","111",""
"Albania","2011","96",""
"Albania","2010","142",""
"Algeria","2012","98",""
"Algeria","2011","99",""
"Algeria","2010","92",""
"Andorra","2012","81",""
"Andorra","2011","75",""
"Andorra","2010","77",""
"Angola","2012","47",""
"Angola","2011","48",""
"Angola","2010","47",""
"Antigua and Barbuda","2012","143",""
"Antigua and Barbuda","2011","196",""
"Antigua and Barbuda","2010","189",""
"Argentina","2012","152",""
"Argentina","2011","135",""
"Argentina","2010","142",""
"Armenia","2012","112",""
"Armenia","2011","104",""
"Armenia","2010","125",""
"Australia","2012","106",""
"Australia","2011","108",""
"Australia","2010","101",""
"Austria","2012","161",""
"Austria","2011","155",""
"Austria","2010","146",""
"Azerbaijan","2012","109",""
"Azerbaijan","2011","109",""
"Azerbaijan","2010","99",""
"Bahamas","2012","81",""
"Bahamas","2011","86",""
"Bahamas","2010","125",""
"Bahrain","2012","161",""
"Bahrain","2011","128",""
"Bahrain","2010","124",""
"Bangladesh","2012","63",""
"Bangladesh","2011","56",""
"Bangladesh","2010","46",""
"Barbados","2012","123",""
"Barbados","2011","127",""
"Barbados","2010","128",""
"Belarus","2012","114",""
"Belarus","2011","112",""
"Belarus","2010","108",""
"Belgium","2012","111",""
"Belgium","2011","117",""
"Belgium","2010","113",""
"Belize","2012","53",""
"Belize","2011","70",""
"Belize","2010","62",""
"Benin","2012","84",""
"Benin","2011","85",""
"Benin","2010","80",""
"Bhutan","2012","76",""
"Bhutan","2011","66",""
"Bhutan","2010","54",""
"Bolivia (Plurinational State of)","2012","90",""
"Bolivia (Plurinational State of)","2011","83",""
"Bolivia (Plurinational State of)","2010","72",""
"Bosnia and Herzegovina","2012","88",""
"Bosnia and Herzegovina","2011","85",""
"Bosnia and Herzegovina","2010","83",""
"Botswana","2012","154",""
"Botswana","2011","143",""
"Botswana","2010","118",""
"Brazil","2012","125",""
"Brazil","2011","124",""
"Brazil","2010","104",""
"Brunei Darussalam","2012","114",""
"Brunei Darussalam","2011","109",""
"Brunei Darussalam","2010","109",""
"Bulgaria","2012","148",""
"Bulgaria","2011","141",""
"Bulgaria","2010","136",""
"Burkina Faso","2012","61",""
"Burkina Faso","2011","45",""
"Burkina Faso","2010","35",""
"Burundi","2012","23",""
"Burundi","2011","22",""
"Burundi","2010","14",""
"Cabo Verde","2012","86",""
"Cabo Verde","2011","79",""
"Cabo Verde","2010","75",""
"Cambodia","2012","129",""
"Cambodia","2011","96",""
"Cambodia","2010","58",""
"Cameroon","2012","60",""
"Cameroon","2011","52",""
"Cameroon","2010","44",""
"Canada","2012","80",""
"Canada","2011","80",""
"Canada","2010","71",""
"Central African Republic","2012","25",""
"Central African Republic","2011","41",""
"Central African Republic","2010","22",""
"Chad","2012","35",""
"Chad","2011","32",""
"Chad","2010","24",""
"Chile","2012","138",""
"Chile","2011","130",""
"Chile","2010","116",""
"China","2012","80",""
